OverallQual_GrLivArea,Overall Qual_p3,Overall Qual_p2,Overall Qual,Gr Liv Area,Gr Liv Area_p2,Yr Sold,SalePrice
24264,729,81,9,2696,7268416,2010,500000
18000,512,64,8,2250,5062500,2010,320000
15768,729,81,9,1752,3069504,2010,319900
10960,512,64,8,1370,1876900,2010,205000
11382,343,49,7,1626,2643876,2010,175500
7944,216,36,6,1324,1752976,2010,199500
8015,343,49,7,1145,1311025,2010,160000
10152,512,64,8,1269,1610361,2010,192000
9618,343,49,7,1374,1887876,2010,184500
12131,343,49,7,1733,3003289,2010,185088
10010,343,49,7,1430,2044900,2010,180000
14245,343,49,7,2035,4141225,2010,222500
23391,729,81,9,2599,6754801,2010,333168
19800,512,64,8,2475,6125625,2010,355000
12040,343,49,7,1720,2958400,2010,260400
20976,512,64,8,2622,6874884,2010,325000
18160,512,64,8,2270,5152900,2010,290000
12873,343,49,7,1839,3381921,2010,221000
25904,512,64,8,3238,10484644,2010,410000
12760,512,64,8,1595,2544025,2010,221500
8526,343,49,7,1218,1483524,2010,204500
10829,343,49,7,1547,2393209,2010,215200
12528,512,64,8,1566,2452356,2010,262500
13629,343,49,7,1947,3790809,2010,254900
8808,216,36,6,1468,2155024,2010,271500
14588,343,49,7,2084,4343056,2010,233000
11613,343,49,7,1659,2752281,2010,181000
14770,343,49,7,2110,4452100,2010,205000
5538,216,36,6,923,851929,2010,143000
11070,216,36,6,1845,3404025,2010,189000
5508,216,36,6,918,842724,2010,99500
4512,216,36,6,752,565504,2010,125000
12208,343,49,7,1744,3041536,2010,194500
6582,216,36,6,1097,1203409,2010,152000
9384,216,36,6,1564,2446096,2010,171000
5060,125,25,5,1012,1024144,2010,67500
11412,216,36,6,1902,3617604,2010,112000
5775,125,25,5,1155,1334025,2010,148000
4470,125,25,5,894,799236,2010,138500
4500,125,25,5,900,810000,2010,122000
5200,125,25,5,1040,1081600,2010,133000
5200,125,25,5,1040,1081600,2010,127000
8964,216,36,6,1494,2232036,2010,169000
13461,343,49,7,1923,3697929,2010,190000
18792,512,64,8,2349,5517801,2010,362500
17800,512,64,8,2225,4950625,2010,285000
10416,343,49,7,1488,2214144,2010,260000
11760,343,49,7,1680,2822400,2010,190000
8400,343,49,7,1200,1440000,2010,155000
8400,343,49,7,1200,1440000,2010,151000
8400,343,49,7,1200,1440000,2010,149500
7416,216,36,6,1236,1527696,2010,152000
10346,343,49,7,1478,2184484,2010,222000
9438,216,36,6,1573,2474329,2010,177500
9072,216,36,6,1512,2286144,2010,177000
9912,343,49,7,1416,2005056,2010,155000
7560,343,49,7,1080,1166400,2010,147110
11344,512,64,8,1418,2010724,2010,267916
14784,512,64,8,1848,3415104,2010,254000
6304,512,64,8,788,620944,2010,155000
9808,512,64,8,1226,1503076,2010,206000
8874,216,36,6,1479,2187441,2010,130500
10444,343,49,7,1492,2226064,2010,230000
10974,216,36,6,1829,3345241,2010,218500
14970,216,36,6,2495,6225025,2010,243500
9660,216,36,6,1610,2592100,2010,205000
11346,216,36,6,1891,3575881,2010,212500
11998,343,49,7,1714,2937796,2010,196500
8286,216,36,6,1381,1907161,2010,197500
9870,216,36,6,1645,2706025,2010,171000
6160,125,25,5,1232,1517824,2010,142250
7968,216,36,6,1328,1763584,2010,143000
4900,64,16,4,1225,1500625,2010,128950
6045,125,25,5,1209,1461681,2010,159000
7550,125,25,5,1510,2280100,2010,178900
10650,216,36,6,1775,3150625,2010,136300
5760,125,25,5,1152,1327104,2010,180500
6324,216,36,6,1054,1110916,2010,137500
8640,125,25,5,1728,2985984,2010,84900
5390,125,25,5,1078,1162084,2010,142125
12305,125,25,5,2461,6056521,2010,197600
9336,216,36,6,1556,2421136,2010,172500
4290,125,25,5,858,736164,2010,116500
3918,27,9,3,1306,1705636,2010,76500
5315,125,25,5,1063,1129969,2010,128000
9120,216,36,6,1520,2310400,2010,153000
6340,125,25,5,1268,1607824,2010,132000
6768,216,36,6,1128,1272384,2010,178000
11370,125,25,5,2274,5171076,2010,154300
15449,343,49,7,2207,4870849,2010,180000
11328,216,36,6,1888,3564544,2010,190000
8020,125,25,5,1604,2572816,2010,135000
10360,343,49,7,1480,2190400,2010,214000
5715,125,25,5,1143,1306449,2010,136000
8500,125,25,5,1700,2890000,2010,165500
6570,125,25,5,1314,1726596,2010,145000
7164,216,36,6,1194,1425636,2010,148000
5940,125,25,5,1188,1411344,2010,142000
6320,125,25,5,1264,1597696,2010,167500
6030,125,25,5,1206,1454436,2010,108538
9480,216,36,6,1580,2496400,2010,159500
5348,64,16,4,1337,1787569,2010,108000
5320,125,25,5,1064,1132096,2010,135000
4860,125,25,5,972,944784,2010,122500
4940,125,25,5,988,976144,2010,119000
5285,125,25,5,1057,1117249,2010,109000
3940,64,16,4,985,970225,2010,105000
4135,125,25,5,827,683929,2010,107500
5430,125,25,5,1086,1179396,2010,144900
4680,125,25,5,936,876096,2010,129000
8748,216,36,6,1458,2125764,2010,97500
6336,216,36,6,1056,1115136,2010,144000
6435,125,25,5,1287,1656369,2010,162000
20846,343,49,7,2978,8868484,2010,242000
7344,216,36,6,1224,1498176,2010,132000
6230,125,25,5,1246,1552516,2010,154000
6925,125,25,5,1385,1918225,2010,166000
4500,125,25,5,900,810000,2010,134800
6696,216,36,6,1116,1245456,2010,160000
5875,125,25,5,1175,1380625,2010,148000
8370,216,36,6,1395,1946025,2010,192000
11034,216,36,6,1839,3381921,2010,155000
7376,64,16,4,1844,3400336,2010,80400
4560,64,16,4,1140,1299600,2010,96500
4680,125,25,5,936,876096,2010,109500
5140,125,25,5,1028,1056784,2010,115000
6735,125,25,5,1347,1814409,2010,143000
4815,27,9,3,1605,2576025,2010,107400
2988,64,16,4,747,558009,2010,80000
4020,125,25,5,804,646416,2010,119000
6580,125,25,5,1316,1731856,2010,130000
7506,216,36,6,1251,1565001,2010,119000
8165,125,25,5,1633,2666689,2010,129000
6225,125,25,5,1245,1550025,2010,100000
1664,8,4,2,832,692224,2010,12789
4320,216,36,6,720,518400,2010,105900
12528,512,64,8,1566,2452356,2010,150000
8260,125,25,5,1652,2729104,2010,139000
18144,512,64,8,2268,5143824,2010,240000
11280,125,25,5,2256,5089536,2010,76500
7416,216,36,6,1236,1527696,2010,149700
5452,64,16,4,1363,1857769,2010,125500
9160,64,16,4,2290,5244100,2010,122500
8820,216,36,6,1470,2160900,2010,140750
8060,125,25,5,1612,2598544,2010,128500
14476,343,49,7,2068,4276624,2010,209500
3060,64,16,4,765,585225,2010,87000
6792,216,36,6,1132,1281424,2010,134000
7176,216,36,6,1196,1430416,2010,128000
7265,125,25,5,1453,2111209,2010,132000
8496,216,36,6,1416,2005056,2010,139900
5200,125,25,5,1040,1081600,2010,123900
7680,125,25,5,1536,2359296,2010,138400
6408,216,36,6,1068,1140624,2010,109500
11970,343,49,7,1710,2924100,2010,140000
7848,64,16,4,1962,3849444,2010,149500
9360,216,36,6,1560,2433600,2010,159900
7944,216,36,6,1324,1752976,2010,122000
4080,125,25,5,816,665856,2010,110000
4368,64,16,4,1092,1192464,2010,55000
9060,125,25,5,1812,3283344,2010,140000
16821,343,49,7,2403,5774409,2010,244400
8375,125,25,5,1675,2805625,2010,173000
6120,125,25,5,1224,1498176,2010,107500
6960,125,25,5,1392,1937664,2010,100000
5514,216,36,6,919,844561,2010,95000
7536,64,16,4,1884,3549456,2010,93369
8400,125,25,5,1680,2822400,2010,114900
5100,125,25,5,1020,1040400,2010,94000
7328,64,16,4,1832,3356224,2010,136000
7072,64,16,4,1768,3125824,2010,136500
5195,125,25,5,1039,1079521,2010,131500
6960,125,25,5,1392,1937664,2010,121500
4560,125,25,5,912,831744,2010,125000
5300,125,25,5,1060,1123600,2010,154000
4460,125,25,5,892,795664,2010,137900
8112,216,36,6,1352,1827904,2010,158000
4320,125,25,5,864,746496,2010,137250
6865,125,25,5,1373,1885129,2010,160250
7200,125,25,5,1440,2073600,2010,163000
8316,216,36,6,1386,1920996,2010,158900
15820,343,49,7,2260,5107600,2010,328000
10381,343,49,7,1483,2199289,2010,270000
3024,64,16,4,756,571536,2010,85000
4268,64,16,4,1067,1138489,2010,128000
10668,343,49,7,1524,2322576,2010,260000
11886,216,36,6,1981,3924361,2010,230000
4830,27,9,3,1610,2592100,2010,124000
4175,125,25,5,835,697225,2010,83000
6444,216,36,6,1074,1153476,2010,144500
5720,125,25,5,1144,1308736,2010,129000
6124,64,16,4,1531,2343961,2010,127000
5860,125,25,5,1172,1373584,2010,128000
7272,216,36,6,1212,1468944,2010,186000
10556,343,49,7,1508,2274064,2010,308030
6490,125,25,5,1298,1684804,2010,114000
3720,64,16,4,930,864900,2010,84900
10392,216,36,6,1732,2999824,2010,178000
10031,343,49,7,1433,2053489,2010,270000
10812,216,36,6,1802,3247204,2010,218000
13643,343,49,7,1949,3798601,2010,236000
5976,216,36,6,996,992016,2010,147000
13552,512,64,8,1694,2869636,2010,245350
8456,343,49,7,1208,1459264,2010,206000
8582,343,49,7,1226,1503076,2010,198900
8554,343,49,7,1222,1493284,2010,187000
22554,343,49,7,3222,10381284,2010,320000
8670,216,36,6,1445,2088025,2010,138500
6312,216,36,6,1052,1106704,2010,155000
4825,125,25,5,965,931225,2010,159000
11844,343,49,7,1692,2862864,2010,191000
10092,216,36,6,1682,2829124,2010,200500
5130,125,25,5,1026,1052676,2010,150000
8352,216,36,6,1392,1937664,2010,161750
4470,125,25,5,894,799236,2010,128200
4380,125,25,5,876,767376,2010,127000
15824,512,64,8,1978,3912484,2010,318000
12808,512,64,8,1601,2563201,2010,272000
12803,343,49,7,1829,3345241,2010,237000
14686,343,49,7,2098,4401604,2010,240000
11627,343,49,7,1661,2758921,2010,224900
5088,216,36,6,848,719104,2010,143750
5088,216,36,6,848,719104,2010,143000
13344,512,64,8,1668,2782224,2010,232000
10388,343,49,7,1484,2202256,2010,213000
9898,343,49,7,1414,1999396,2010,185500
1920,27,9,3,640,409600,2010,84900
4960,125,25,5,992,984064,2010,155891
8320,125,25,5,1664,2768896,2010,100000
5980,125,25,5,1196,1430416,2010,144000
4480,64,16,4,1120,1254400,2010,64000
6576,216,36,6,1096,1201216,2010,125200
6702,216,36,6,1117,1247689,2010,107000
3840,64,16,4,960,921600,2010,90000
4484,64,16,4,1121,1256641,2010,140000
8922,216,36,6,1487,2211169,2010,113000
3696,64,16,4,924,853776,2010,80000
7630,125,25,5,1526,2328676,2010,144500
6480,125,25,5,1296,1679616,2010,104000
9882,216,36,6,1647,2712609,2010,128000
2592,27,9,3,864,746496,2010,58500
8455,125,25,5,1691,2859481,2010,127000
5136,216,36,6,856,732736,2010,126000
10600,64,16,4,2650,7022500,2010,160000
8330,125,25,5,1666,2775556,2010,100000
14682,216,36,6,2447,5987809,2010,169000
14931,343,49,7,2133,4549689,2010,257500
10885,125,25,5,2177,4739329,2010,215000
16380,343,49,7,2340,5475600,2010,266500
13314,343,49,7,1902,3617604,2010,335000
11564,343,49,7,1652,2729104,2010,203135
8272,512,64,8,1034,1069156,2010,185000
9528,512,64,8,1191,1418481,2010,162500
12607,343,49,7,1801,3243601,2010,289000
4616,64,16,4,1154,1331716,2010,125500
1080,8,4,2,540,291600,2010,82000
6642,216,36,6,1107,1225449,2010,110000
4512,64,16,4,1128,1272384,2010,68400
4712,64,16,4,1178,1387684,2010,102776
5220,125,25,5,1044,1089936,2010,55993
3808,64,16,4,952,906304,2010,50138
13168,512,64,8,1646,2709316,2010,246000
15328,512,64,8,1916,3671056,2010,254900
7710,216,36,6,1285,1651225,2010,190000
10920,343,49,7,1560,2433600,2010,201000
6204,216,36,6,1034,1069156,2010,169900
12288,216,36,6,2048,4194304,2010,170000
8435,125,25,5,1687,2845969,2010,160000
9422,343,49,7,1346,1811716,2010,220000
8498,343,49,7,1214,1473796,2010,179781
7220,125,25,5,1444,2085136,2010,174000
15744,512,64,8,1968,3873024,2010,269500
13258,343,49,7,1894,3587236,2010,214900
15264,512,64,8,1908,3640464,2010,202900
18162,729,81,9,2018,4072324,2010,378500
6320,125,25,5,1264,1597696,2010,169000
7150,125,25,5,1430,2044900,2010,173500
10944,216,36,6,1824,3326976,2010,139000
6720,125,25,5,1344,1806336,2010,166500
4368,64,16,4,1092,1192464,2010,83500
4725,125,25,5,945,893025,2010,119500
5560,125,25,5,1112,1236544,2010,85000
4368,64,16,4,1092,1192464,2010,76000
2520,64,16,4,630,396900,2010,75500
4368,64,16,4,1092,1192464,2010,88250
4368,64,16,4,1092,1192464,2010,85500
4370,125,25,5,874,763876,2010,130000
5940,125,25,5,1188,1411344,2010,157900
4165,125,25,5,833,693889,2010,149900
12160,125,25,5,2432,5914624,2010,159000
6370,125,25,5,1274,1623076,2010,136000
7395,125,25,5,1479,2187441,2010,161000
14424,512,64,8,1803,3250809,2010,285000
10782,216,36,6,1797,3229209,2010,231000
5292,216,36,6,882,777924,2009,124500
8604,216,36,6,1434,2056356,2009,157000
21632,512,64,8,2704,7311616,2009,345000
9648,216,36,6,1608,2585664,2009,189500
18264,512,64,8,2283,5212089,2009,270000
11396,343,49,7,1628,2650384,2009,189000
15714,729,81,9,1746,3048516,2009,377500
10318,343,49,7,1474,2172676,2009,168500
20176,512,64,8,2522,6360484,2009,375000
13272,512,64,8,1659,2752281,2009,278000
11824,512,64,8,1478,2184484,2009,240000
13872,512,64,8,1734,3006756,2009,239500
9674,343,49,7,1382,1909924,2009,177500
12026,343,49,7,1718,2951524,2009,185000
9816,216,36,6,1636,2676496,2009,191000
9426,216,36,6,1571,2468041,2009,178000
8820,216,36,6,1470,2160900,2009,185000
9096,216,36,6,1516,2298256,2009,181316
7140,216,36,6,1190,1416100,2009,166000
9558,216,36,6,1593,2537649,2009,178000
8886,216,36,6,1481,2193361,2009,174000
7002,216,36,6,1167,1361889,2009,173000
13881,343,49,7,1983,3932289,2009,225000
10094,343,49,7,1442,2079364,2009,180500
10880,512,64,8,1360,1849600,2009,187500
20106,729,81,9,2234,4990756,2009,501837
16368,512,64,8,2046,4186116,2009,372500
10710,343,49,7,1530,2340900,2009,260000
9670,125,25,5,1934,3740356,2009,185000
16471,343,49,7,2353,5536609,2009,260000
9516,216,36,6,1586,2515396,2009,181000
9877,343,49,7,1411,1990921,2009,82500
9612,216,36,6,1602,2566404,2009,215000
14350,343,49,7,2050,4202500,2009,154000
10026,216,36,6,1671,2792241,2009,200000
18711,343,49,7,2673,7144929,2009,249000
10304,343,49,7,1472,2166784,2009,187500
10242,216,36,6,1707,2913849,2009,184000
20192,512,64,8,2524,6370576,2009,278000
11207,343,49,7,1601,2563201,2009,157000
9590,343,49,7,1370,1876900,2009,152000
9340,125,25,5,1868,3489424,2009,197500
13188,343,49,7,1884,3549456,2009,240900
15480,512,64,8,1935,3744225,2009,263435
14992,512,64,8,1874,3511876,2009,220000
14488,512,64,8,1811,3279721,2009,235000
8105,125,25,5,1621,2627641,2009,213000
6696,216,36,6,1116,1245456,2009,167900
8351,343,49,7,1193,1423249,2009,158000
8100,216,36,6,1350,1822500,2009,165000
12714,216,36,6,2119,4490161,2009,158000
8960,125,25,5,1792,3211264,2009,136000
5010,125,25,5,1002,1004004,2009,148500
6156,216,36,6,1026,1052676,2009,156000
5900,125,25,5,1180,1392400,2009,128000
5250,125,25,5,1050,1102500,2009,143000
3456,64,16,4,864,746496,2009,76500
3456,64,16,4,864,746496,2009,120500
3456,64,16,4,864,746496,2009,124500
3456,64,16,4,864,746496,2009,97000
3456,64,16,4,864,746496,2009,130000
5922,216,36,6,987,974169,2009,111000
6825,125,25,5,1365,1863225,2009,125000
6510,125,25,5,1302,1695204,2009,112000
5922,216,36,6,987,974169,2009,97000
5922,216,36,6,987,974169,2009,118000
6510,125,25,5,1302,1695204,2009,119500
5748,216,36,6,958,917764,2009,143750
9288,216,36,6,1548,2396304,2009,146000
8736,216,36,6,1456,2119936,2009,148500
7385,343,49,7,1055,1113025,2009,123000
7932,216,36,6,1322,1747684,2009,147000
8736,216,36,6,1456,2119936,2009,137900
9288,216,36,6,1548,2396304,2009,147000
8646,216,36,6,1441,2076481,2009,148500
8736,216,36,6,1456,2119936,2009,138000
5852,343,49,7,836,698896,2009,128500
4460,125,25,5,892,795664,2009,100000
5600,125,25,5,1120,1254400,2009,148800
17180,1000,100,10,1718,2951524,2009,337500
24948,729,81,9,2772,7683984,2009,462000
28260,729,81,9,3140,9859600,2009,485000
24020,1000,100,10,2402,5769604,2009,555000
14868,729,81,9,1652,2729104,2009,325000
12800,512,64,8,1600,2560000,2009,256300
16336,512,64,8,2042,4169764,2009,253293
24210,729,81,9,2690,7236100,2009,398800
19656,729,81,9,2184,4769856,2009,335000
18180,729,81,9,2020,4080400,2009,404000
20200,1000,100,10,2020,4080400,2009,402861
22960,1000,100,10,2296,5271616,2009,451950
26740,1000,100,10,2674,7150276,2009,610000
25398,729,81,9,2822,7963684,2009,582933
15624,729,81,9,1736,3013696,2009,360000
14256,512,64,8,1782,3175524,2009,296000
20160,512,64,8,2520,6350400,2009,409900
13736,512,64,8,1717,2948089,2009,255500
15687,729,81,9,1743,3038049,2009,335000
13704,512,64,8,1713,2934369,2009,274900
13779,729,81,9,1531,2343961,2009,300000
16272,729,81,9,1808,3268864,2009,324000
20016,729,81,9,2224,4946176,2009,350000
14688,512,64,8,1836,3370896,2009,280000
13032,512,64,8,1629,2653641,2009,284000
12320,343,49,7,1760,3097600,2009,269500
10514,343,49,7,1502,2256004,2009,233170
23920,1000,100,10,2392,5721664,2009,386250
22068,729,81,9,2452,6012304,2009,445000
19200,512,64,8,2400,5760000,2009,290000
12848,512,64,8,1606,2579236,2009,255900
8148,216,36,6,1358,1844164,2009,213000
7836,216,36,6,1306,1705636,2009,196000
7836,216,36,6,1306,1705636,2009,184500
9506,343,49,7,1358,1844164,2009,212500
9198,343,49,7,1314,1726596,2009,230000
24920,1000,100,10,2492,6210064,2009,552000
17600,512,64,8,2200,4840000,2009,382500
16956,729,81,9,1884,3549456,2009,320000
13104,729,81,9,1456,2119936,2009,248500
13696,512,64,8,1712,2930944,2009,286500
10592,512,64,8,1324,1752976,2009,254000
9835,343,49,7,1405,1974025,2009,173000
11382,343,49,7,1626,2643876,2009,173000
10192,343,49,7,1456,2119936,2009,184000
8940,216,36,6,1490,2220100,2009,167800
8904,216,36,6,1484,2202256,2009,174000
9360,216,36,6,1560,2433600,2009,174000
10885,343,49,7,1555,2418025,2009,174000
10983,343,49,7,1569,2461761,2009,175900
10885,343,49,7,1555,2418025,2009,192500
10528,343,49,7,1504,2262016,2009,181000
8540,343,49,7,1220,1488400,2009,180000
8015,343,49,7,1145,1311025,2009,160200
10024,343,49,7,1432,2050624,2009,188500
13602,216,36,6,2267,5139289,2009,200000
9618,343,49,7,1374,1887876,2009,170000
11410,343,49,7,1630,2656900,2009,189500
11352,512,64,8,1419,2013561,2009,184100
11158,343,49,7,1594,2540836,2009,195500
10423,343,49,7,1489,2217121,2009,192000
9394,343,49,7,1342,1800964,2009,178000
9198,343,49,7,1314,1726596,2009,207500
15792,343,49,7,2256,5089536,2009,236000
12324,216,36,6,2054,4218916,2009,244000
9618,343,49,7,1374,1887876,2009,167000
10800,216,36,6,1800,3240000,2009,179000
9084,216,36,6,1514,2292196,2009,190000
10010,343,49,7,1430,2044900,2009,156000
16184,343,49,7,2312,5345344,2009,245000
10050,216,36,6,1675,2805625,2009,181000
14420,343,49,7,2060,4243600,2009,214000
10010,343,49,7,1430,2044900,2009,168000
18920,512,64,8,2365,5593225,2009,337000
22352,512,64,8,2794,7806436,2009,403000
21496,512,64,8,2687,7219969,2009,327000
19600,512,64,8,2450,6002500,2009,340000
20896,512,64,8,2612,6822544,2009,336000
16408,343,49,7,2344,5494336,2009,265000
16504,512,64,8,2063,4255969,2009,315000
18522,343,49,7,2646,7001316,2009,260000
14427,343,49,7,2061,4247721,2009,260000
17856,512,64,8,2232,4981824,2009,263550
19584,512,64,8,2448,5992704,2009,402000
12950,343,49,7,1850,3422500,2009,248000
11744,512,64,8,1468,2155024,2009,244600
13568,512,64,8,1696,2876416,2009,275000
13264,512,64,8,1658,2748964,2009,257500
12624,512,64,8,1578,2490084,2009,287090
13616,512,64,8,1702,2896804,2009,275500
11456,512,64,8,1432,2050624,2009,245000
13797,343,49,7,1971,3884841,2009,253000
22410,729,81,9,2490,6200100,2009,468000
12964,343,49,7,1852,3429904,2009,252678
12720,512,64,8,1590,2528100,2009,210000
7308,216,36,6,1218,1483524,2009,208300
10512,512,64,8,1314,1726596,2009,229456
9814,343,49,7,1402,1965604,2009,229800
13770,729,81,9,1530,2340900,2009,250000
15894,729,81,9,1766,3118756,2009,370878
11584,512,64,8,1448,2096704,2009,238500
20070,1000,100,10,2007,4028049,2009,310000
14360,512,64,8,1795,3222025,2009,270000
15624,512,64,8,1953,3814209,2009,252000
10850,343,49,7,1550,2402500,2009,241000
14688,512,64,8,1836,3370896,2009,264500
11634,343,49,7,1662,2762244,2009,291000
14658,343,49,7,2094,4384836,2009,263000
8547,343,49,7,1221,1490841,2009,185000
10871,343,49,7,1553,2411809,2009,234500
11571,343,49,7,1653,2732409,2009,209000
8526,343,49,7,1218,1483524,2009,159000
7987,343,49,7,1141,1301881,2009,152000
6948,216,36,6,1158,1340964,2009,143500
12684,343,49,7,1812,3283344,2009,193000
12096,512,64,8,1512,2286144,2009,203000
7798,343,49,7,1114,1240996,2009,159000
5570,125,25,5,1114,1240996,2009,142000
5570,125,25,5,1114,1240996,2009,153000
10150,343,49,7,1450,2102500,2009,224243
14854,343,49,7,2122,4502884,2009,220000
14752,512,64,8,1844,3400336,2009,257000
10038,343,49,7,1434,2056356,2009,189000
10380,216,36,6,1730,2992900,2009,171500
7302,216,36,6,1217,1481089,2009,120000
7992,216,36,6,1332,1774224,2009,145000
10780,343,49,7,1540,2371600,2009,184000
8400,216,36,6,1400,1960000,2009,162000
11292,216,36,6,1882,3541924,2009,160000
3364,64,16,4,841,707281,2009,82000
4704,216,36,6,784,614656,2009,76000
4900,125,25,5,980,960400,2009,110000
4900,125,25,5,980,960400,2009,135000
4320,125,25,5,864,746496,2009,141000
4320,125,25,5,864,746496,2009,122000
5100,125,25,5,1020,1040400,2009,124100
4560,125,25,5,912,831744,2009,129000
5720,125,25,5,1144,1308736,2009,131400
4320,125,25,5,864,746496,2009,62383
4560,125,25,5,912,831744,2009,123000
16112,512,64,8,2014,4056196,2009,275000
12285,343,49,7,1755,3080025,2009,235000
21035,343,49,7,3005,9030025,2009,280750
7344,216,36,6,1224,1498176,2009,164500
7344,216,36,6,1224,1498176,2009,173733
10356,216,36,6,1726,2979076,2009,222000
7536,216,36,6,1256,1577536,2009,195000
8826,216,36,6,1471,2163841,2009,172500
9072,216,36,6,1512,2286144,2009,180000
10164,343,49,7,1452,2108304,2009,156000
13912,512,64,8,1739,3024121,2009,172500
13552,512,64,8,1694,2869636,2009,318750
9808,512,64,8,1226,1503076,2009,211500
12180,343,49,7,1740,3027600,2009,241600
19992,512,64,8,2499,6245001,2009,180500
6480,64,16,4,1620,2624400,2009,150000
9336,216,36,6,1556,2421136,2009,154000
8652,216,36,6,1442,2079364,2009,185000
8934,216,36,6,1489,2217121,2009,185750
14630,343,49,7,2090,4368100,2009,200000
14469,343,49,7,2067,4272489,2009,206000
8370,216,36,6,1395,1946025,2009,162000
15840,216,36,6,2640,6969600,2009,256900
10344,216,36,6,1724,2972176,2009,197900
6680,125,25,5,1336,1784896,2009,163000
7296,216,36,6,1216,1478656,2009,113000
16016,343,49,7,2288,5234944,2009,230000
8004,216,36,6,1334,1779556,2009,167900
11760,343,49,7,1680,2822400,2009,213250
13320,512,64,8,1665,2772225,2009,227000
4320,125,25,5,864,746496,2009,130000
7840,125,25,5,1568,2458624,2009,143000
4625,125,25,5,925,855625,2009,117500
14427,343,49,7,2061,4247721,2009,168500
7920,216,36,6,1320,1742400,2009,172500
8052,216,36,6,1342,1800964,2009,161500
3576,64,16,4,894,799236,2009,141500
4320,125,25,5,864,746496,2009,118000
5184,216,36,6,864,746496,2009,127500
5448,64,16,4,1362,1855044,2009,140000
8640,125,25,5,1728,2985984,2009,177625
8880,125,25,5,1776,3154176,2009,110000
9096,216,36,6,1516,2298256,2009,167000
6565,125,25,5,1313,1723969,2009,153000
6460,125,25,5,1292,1669264,2009,145100
5770,125,25,5,1154,1331716,2009,154000
10700,125,25,5,2140,4579600,2009,177500
8670,216,36,6,1445,2088025,2009,158000
5205,125,25,5,1041,1083681,2009,124500
9456,216,36,6,1576,2483776,2009,174500
4800,125,25,5,960,921600,2009,122000
2832,64,16,4,708,501264,2009,82500
6015,125,25,5,1203,1447209,2009,110000
9030,216,36,6,1505,2265025,2009,149500
10146,216,36,6,1691,2859481,2009,175000
9864,216,36,6,1644,2702736,2009,167000
5250,125,25,5,1050,1102500,2009,128900
10008,216,36,6,1668,2782224,2009,140000
5565,125,25,5,1113,1238769,2009,147000
7920,125,25,5,1584,2509056,2009,124000
8718,216,36,6,1453,2111209,2009,187500
8364,216,36,6,1394,1943236,2009,159000
9402,216,36,6,1567,2455489,2009,256000
13902,343,49,7,1986,3944196,2009,205000
12852,216,36,6,2142,4588164,2009,193500
8352,216,36,6,1392,1937664,2009,110000
6952,64,16,4,1738,3020644,2009,104900
5720,125,25,5,1144,1308736,2009,150000
8868,216,36,6,1478,2184484,2009,156500
9303,343,49,7,1329,1766241,2009,176000
5928,216,36,6,988,976144,2009,149500
9792,216,36,6,1632,2663424,2009,139000
7290,216,36,6,1215,1476225,2009,155000
6010,125,25,5,1202,1444804,2009,120000
6910,125,25,5,1382,1909924,2009,153000
4800,64,16,4,1200,1440000,2009,144000
8292,216,36,6,1382,1909924,2009,176000
